Carla Interface.agents.Ego Vehicle_1.accelerations;Carla Interface.agents.Ego Vehicle_1.applied_input;Carla Interface.agents.Ego Vehicle_1.cruise_control_speed
[2.5243662093998864e-05, -1.4430379451368935e-05, -0.06351780891418457];[-0.0017505496507510543, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[2.5243662093998864e-05, -1.4430379451368935e-05, -0.06351780891418457];[-0.0017505496507510543, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[2.5243662093998864e-05, -1.4430379451368935e-05, -0.06351780891418457];[-0.0017505496507510543, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[0.00010103452223120257, -5.708305616280995e-05, 0.011696688830852509];[-0.001958241919055581, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.242968159611337e-05, 1.7988910258281976e-05, -0.05934806168079376];[-0.0022648354060947895, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-4.422120127856033e-06, 3.0054047783778515e-06, 0.06191558390855789];[-0.002363736741244793, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-4.422120127856033e-06, 3.0054047783778515e-06, 0.06191558390855789];[-0.002363736741244793, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[2.0170164134469815e-06, -1.5642104926882894e-06, 0.029279453679919243];[-0.002462637610733509, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[4.711419023806229e-06, -1.897010861284798e-06, -0.06987366080284119];[-0.0026109893806278706, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[5.685970336344326e-06, -3.5786647458735388e-06, 0.061276163905858994];[-0.002680219942703843, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[8.783029443293344e-06, -7.562125119875418e-06, -0.05363861098885536];[-0.0027593409176915884, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[8.783029443293344e-06, -7.562125119875418e-06, -0.05363861098885536];[-0.0027593409176915884, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[1.2106248505006079e-05, -5.975623935228214e-06, 0.031064949929714203];[-0.0028384618926793337, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[6.1911550801596604e-06, -4.859930413658731e-06, -0.036766860634088516];[-0.0028780221473425627, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[8.422106475336477e-06, -3.783123702305602e-06, -0.007480393163859844];[-0.0029175826348364353, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[7.717031621723436e-06, -4.760101546708029e-06, -0.0031210859306156635];[-0.0029175826348364353, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[7.717031621723436e-06, -4.760101546708029e-06, -0.0031210859306156635];[-0.0029175826348364353, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[7.96420772530837e-06, -2.289299118274357e-06, -0.003716448089107871];[-0.0029175826348364353, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[2.4351516003662255e-06, -3.0806429549556924e-06, 0.0005035477806814015];[-0.0029175826348364353, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[1.9177903141098795e-06, -2.2799422367825173e-06, -0.00666759954765439];[-0.0029076924547553062, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[4.441132205101894e-06, -1.2731521792375133e-06, -0.013147713616490364];[-0.0028879123274236917, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[4.441132205101894e-06, -1.2731521792375133e-06, -0.013147713616490364];[-0.0028879123274236917, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[1.0356286566093331e-06, 6.2041794990364e-07, 0.012771861627697945];[-0.0028780221473425627, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[1.020926265482558e-05, -6.859747827547835e-06, -0.00455946521833539];[-0.0028681319672614336, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-7.509711963393784e-07, -6.754215746695991e-07, -0.03820713609457016];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-4.29926586775764e-07, 1.3269387864056625e-06, -0.01017395406961441];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-4.29926586775764e-07, 1.3269387864056625e-06, -0.01017395406961441];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-4.29926586775764e-07, 1.3269387864056625e-06, -0.01017395406961441];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[7.612679837620817e-07, -1.1008449973815004e-06, -0.02235203981399536];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[7.612679837620817e-07, -1.1008449973815004e-06, -0.02235203981399536];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[7.612679837620817e-07, -1.1008449973815004e-06, -0.02235203981399536];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-6.617518124585331e-07, 8.320075153278594e-07, -0.0031742278952151537];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-6.617518124585331e-07, 8.320075153278594e-07, -0.0031742278952151537];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[2.7493581455928506e-06, -1.6625969010419794e-06, 0.034441955387592316];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[2.7493581455928506e-06, -1.6625969010419794e-06, 0.034441955387592316];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[5.3901394494459964e-06, -3.170644276906387e-06, 0.0023493177723139524];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-6.06651383350254e-06, 3.5755949738813797e-06, -0.023014308884739876];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-6.06651383350254e-06, 3.5755949738813797e-06, -0.023014308884739876];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.5036604404449463, -5.926992416381836, 0.026745708659291267];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-3.5036604404449463, -5.926992416381836, 0.026745708659291267];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-13.197715759277344, -22.292333602905273, -0.022622549906373024];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
[-11.602999687194824, -19.583860397338867, -0.004672529641538858];[-0.0028483520727604628, 0.0, 0.0, 0.0, 1.0];1.388.888.931.274.410
